Event,nsta,MW,depth,ev_lla,ev_lon,Networks,Stations
2012.312.16.35,16,7.4,38.7,14.0318,-92.0669,"['7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA'
 'ZA' 'ZA']","['FS15B', 'G30B', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550', 'B01', 'B09', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.316.01.12,21,6.8,14.2,22.8908,95.848,"['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'XF' 'XF' 'XF'
 'XF' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA']","['FS15B', 'G30B', 'J11B', 'M11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550', 'B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.317.20.42,10,6.3,19,57.557,-142.8596,['XF' 'XF' 'XF' 'XF' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA' 'ZA'],"['B01', 'B09', 'B10', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.321.18.12,19,6.5,50.8,49.2365,155.6545,"['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'XF' 'XF' 'XF' 'ZA'
 'ZA' 'ZA' 'ZA' 'ZA' 'ZA']","['FS15B', 'G30B', 'J11B', 'M11B', 'BB140', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550', 'B01', 'B09', 'B19', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2012.342.18.19,19,6.3,171,-38.3574,176.0726,"['7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'XF' 'XF' 'XF' 'ZA'
 'ZA' 'ZA' 'ZA' 'ZA' 'ZA']","['FS15B', 'G30B', 'J11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550', 'B01', 'B09', 'B10', 'B01', 'B02', 'B04', 'B05', 'B06', 'B24']"
2013.033.14.17,11,6.9,105,42.7847,143.1474,['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FS15B', 'G30B', 'J11B', 'M11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550']"
2013.037.01.12,11,7.9,23.8,-10.864,165.1418,['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FS15B', 'G30B', 'J11B', 'M11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550']"
2013.037.01.54,11,7,9.9,-10.5087,165.8168,['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FS15B', 'G30B', 'J11B', 'M11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550']"
2013.039.15.26,11,7,22.4,-10.8933,166.1453,['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FS15B', 'G30B', 'J11B', 'M11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550']"
2013.040.14.16,11,7,144.2,1.0345,-77.462,['7D' '7D' '7D' '7D' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9' 'X9'],"['FS15B', 'G30B', 'J11B', 'M11B', 'BB140', 'BB170', 'BB180', 'BB420', 'BB510', 'BB540', 'BB550']"
